Rank,IRM,IBUId,Name,Nat,Shootings,ShootingTotal,WC,NC,BibColor,PursuitStartDistance,ResultOrder_shooting,ResultOrder_range,ResultOrder_ski,RaceId,EventId,EventName,RaceDate,Season,Genre,TotalTime_seconds,Behind_seconds,TotalTime_shooting_seconds,Behind_shooting_seconds,TotalTime_range_seconds,Behind_range_seconds,TotalTime_ski_seconds,Behind_ski_seconds,prone_shooting1,prone_shooting2,standing_shooting1,standing_shooting2,prone_shooting,standing_shooting,accuracy_prone_shooting1,accuracy_prone_shooting2,accuracy_standing_shooting1,accuracy_standing_shooting2,accuracy_prone,accuracy_standing,accuracy_total,race_name,compet_name
1.0,,BTFRA11409198801,FOURCADE Martin,FRA,0+0+0+0,0.0,60.0,160.0,yr,0,999.0,89,13,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,2018-12-06,1819,Male,2829.2,0.0,140.0,51.0,202.9,48.5,2603.4,83.7,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
2.0,,BTGER11911199101,KUEHN Johannes,GER,0+0+0+0,0.0,54.0,154.0,,0,89.0,90,16,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,2018-12-06,1819,Male,2833.4,4.2,133.0,44.0,204.9,50.5,2606.7,87.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
3.0,,BTAUT12302198301,EDER Simon,AUT,0+0+0+0,0.0,48.0,148.0,,0,999.0,24,29,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,2018-12-06,1819,Male,2848.9,19.7,116.0,27.0,181.2,26.8,2645.2,125.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
4.0,,BTCRO10108198701,FAK Jakov,SLO,0+0+1+0,1.0,43.0,143.0,,0,32.0,28,10,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,2018-12-06,1819,Male,2863.6,34.4,114.0,25.0,182.1,27.7,2600.2,80.5,0.0,1.0,0.0,0.0,1.0,0.0,100.0,80.0,100.0,100.0,90.0,100.0,95.0,Individual,world_cup
5.0,,BTGER11411198801,SCHEMPP Simon,GER,0+0+0+1,1.0,40.0,140.0,,0,999.0,26,12,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,2018-12-06,1819,Male,2867.8,38.6,113.0,24.0,181.6,27.2,2602.9,83.2,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,80.0,100.0,90.0,95.0,Individual,world_cup
6.0,,BTUKR12807198801,SEMENOV Sergii,UKR,0+0+0+0,0.0,38.0,138.0,,0,999.0,59,37,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,2018-12-06,1819,Male,2874.2,45.0,120.0,31.0,191.8,37.4,2660.7,141.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
7.0,,BTNOR11605199301,BOE Johannes Thingnes,NOR,0+1+2+0,3.0,36.0,136.0,r,0,999.0,15,1,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,2018-12-06,1819,Male,2901.1,71.9,113.0,24.0,177.5,23.1,2519.7,0.0,0.0,2.0,1.0,0.0,2.0,1.0,100.0,60.0,80.0,100.0,80.0,90.0,85.0,Individual,world_cup
8.0,,BTFRA10207199101,GUIGONNAT Antonin,FRA,1+0+0+0,1.0,34.0,134.0,,0,999.0,23,24,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,2018-12-06,1819,Male,2902.7,73.5,112.0,23.0,181.1,26.7,2637.9,118.2,1.0,0.0,0.0,0.0,1.0,0.0,80.0,100.0,100.0,100.0,90.0,100.0,95.0,Individual,world_cup
9.0,,BTSWE12803199701,SAMUELSSON Sebastian,SWE,1+1+0+0,2.0,32.0,132.0,,0,999.0,45,4,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,2018-12-06,1819,Male,2907.7,78.5,122.0,33.0,186.9,32.5,2577.6,57.9,1.0,0.0,1.0,0.0,1.0,1.0,80.0,100.0,80.0,100.0,90.0,90.0,90.0,Individual,world_cup
10.0,,BTNOR11102198801,BIRKELAND Lars Helge,NOR,0+0+0+1,1.0,31.0,131.0,,0,999.0,8,35,BT1819SWRLCP01SMIN,BT1819SWRLCP01,Pokljuka,2018-12-06,1819,Male,2911.2,82.0,106.0,17.0,171.3,16.9,2656.1,136.4,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,80.0,100.0,90.0,95.0,Individual,world_cup
