Rank,IRM,IBUId,Name,Nat,Shootings,ShootingTotal,WC,NC,BibColor,PursuitStartDistance,ResultOrder_shooting,ResultOrder_range,ResultOrder_ski,RaceId,EventId,EventName,RaceDate,Season,Genre,TotalTime_seconds,Behind_seconds,TotalTime_shooting_seconds,Behind_shooting_seconds,TotalTime_range_seconds,Behind_range_seconds,TotalTime_ski_seconds,Behind_ski_seconds,prone_shooting1,prone_shooting2,standing_shooting1,standing_shooting2,prone_shooting,standing_shooting,accuracy_prone_shooting1,accuracy_prone_shooting2,accuracy_standing_shooting1,accuracy_standing_shooting2,accuracy_prone,accuracy_standing,accuracy_total,race_name,compet_name
1.0,,BTITA20402199501,VITTOZZI Lisa,ITA,0+0+1+0,1.0,90.0,160.0,r,0,21.0,17.0,5.0,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,2023-11-26,2324,Female,2643.9,0.0,115.4,19.8,201.6,17.7,2382.3,48.2,0.0,1.0,0.0,0.0,1.0,0.0,100.0,80.0,100.0,100.0,90.0,100.0,95.0,Individual,world_cup
2.0,,BTGER21103199401,PREUSS Franziska,GER,0+0+0+0,0.0,75.0,154.0,,0,17.0,12.0,14.0,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,2023-11-26,2324,Female,2644.0,0.1,113.0,17.4,200.7,16.8,2443.3,109.2,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
3.0,,BTGER20710199701,VOIGT Vanessa,GER,0+0+0+0,0.0,60.0,148.0,,0,65.0,57.0,10.0,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,2023-11-26,2324,Female,2654.0,10.1,130.6,35.0,219.3,35.4,2434.7,100.6,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
4.0,,BTNOR20601199501,KNOTTEN Karoline Offigstad,NOR,0+0+1+0,1.0,50.0,143.0,,0,8.0,5.0,11.0,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,2023-11-26,2324,Female,2690.4,46.5,107.8,12.2,195.0,11.1,2435.4,101.3,0.0,1.0,0.0,0.0,1.0,0.0,100.0,80.0,100.0,100.0,90.0,100.0,95.0,Individual,world_cup
5.0,,BTGER21209199701,SCHNEIDER Sophia,GER,0+0+0+1,1.0,45.0,140.0,,0,71.0,50.0,9.0,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,2023-11-26,2324,Female,2704.9,61.0,132.9,37.3,215.2,31.3,2429.7,95.6,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,80.0,100.0,90.0,95.0,Individual,world_cup
6.0,,BTAUT21612199301,HAUSER Lisa Theresa,AUT,0+0+0+0,0.0,40.0,138.0,,0,14.0,14.0,35.0,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,2023-11-26,2324,Female,2711.6,67.7,111.1,15.5,200.8,16.9,2510.8,176.7,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
7.0,,BTNOR22309199601,TANDREVOLD Ingrid Landmark,NOR,0+2+0+0,2.0,36.0,136.0,,0,67.0,63.0,4.0,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,2023-11-26,2324,Female,2713.6,69.7,131.8,36.2,222.3,38.4,2371.3,37.2,0.0,0.0,2.0,0.0,0.0,2.0,100.0,100.0,60.0,100.0,100.0,80.0,90.0,Individual,world_cup
8.0,,BTNOR20501199901,JOHANSEN Marthe Krakstad,NOR,0+0+1+0,1.0,34.0,134.0,,0,5.0,4.0,25.0,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,2023-11-26,2324,Female,2733.5,89.6,105.5,9.9,191.8,7.9,2481.7,147.6,0.0,1.0,0.0,0.0,1.0,0.0,100.0,80.0,100.0,100.0,90.0,100.0,95.0,Individual,world_cup
9.0,,BTPOL22205199201,MAKA Anna,POL,0+0+0+1,1.0,32.0,132.0,,0,56.0,35.0,27.0,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,2023-11-26,2324,Female,2755.9,112.0,124.6,29.0,209.9,26.0,2486.0,151.9,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,80.0,100.0,90.0,95.0,Individual,world_cup
10.0,,BTNOR20707199801,SKOGAN Marit Ishol,NOR,0+1+0+0,1.0,31.0,,,0,42.0,33.0,29.0,BT2324SWRLCP01SWIN,BT2324SWRLCP01,Oestersund,2023-11-26,2324,Female,2761.6,117.7,121.7,26.1,209.0,25.1,2492.6,158.5,0.0,0.0,1.0,0.0,0.0,1.0,100.0,100.0,80.0,100.0,100.0,90.0,95.0,Individual,world_cup
