Rank,IRM,IBUId,Name,Nat,Shootings,ShootingTotal,WC,NC,BibColor,PursuitStartDistance,ResultOrder_shooting,ResultOrder_range,ResultOrder_ski,RaceId,EventId,EventName,RaceDate,Season,Genre,TotalTime_seconds,Behind_seconds,TotalTime_shooting_seconds,Behind_shooting_seconds,TotalTime_range_seconds,Behind_range_seconds,TotalTime_ski_seconds,Behind_ski_seconds,prone_shooting1,prone_shooting2,standing_shooting1,standing_shooting2,prone_shooting,standing_shooting,accuracy_prone_shooting1,accuracy_prone_shooting2,accuracy_standing_shooting1,accuracy_standing_shooting2,accuracy_prone,accuracy_standing,accuracy_total,race_name,compet_name
1.0,,BTSWE10809199501,PONSILUOMA Martin,SWE,0+1+0+0,1.0,90.0,160.0,,0,12.0,6.0,2.0,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,2022-11-29,2223,Male,2976.5,0.0,109.4,16.0,205.9,5.6,2678.4,49.8,0.0,0.0,1.0,0.0,0.0,1.0,100.0,100.0,80.0,100.0,100.0,90.0,95.0,Individual,world_cup
2.0,,BTSUI10103200001,HARTWEG Niklas,SUI,0+0+0+0,0.0,75.0,154.0,,0,6.0,5.0,21.0,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,2022-11-29,2223,Male,3013.7,37.2,102.6,9.2,205.4,5.1,2772.7,144.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
3.0,,BTGER11106199601,ZOBEL David,GER,0+0+0+0,0.0,60.0,148.0,,0,65.0,34.0,23.0,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,2022-11-29,2223,Male,3035.8,59.3,129.9,36.5,225.4,25.1,2778.1,149.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
4.0,,BTGER10103199301,REES Roman,GER,0+0+1+0,1.0,50.0,143.0,,0,28.0,22.0,10.0,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,2022-11-29,2223,Male,3037.4,60.9,117.0,23.6,217.6,17.3,2726.3,97.7,0.0,1.0,0.0,0.0,1.0,0.0,100.0,80.0,100.0,100.0,90.0,100.0,95.0,Individual,world_cup
5.0,,BTSWE12803199701,SAMUELSSON Sebastian,SWE,0+1+0+0,1.0,45.0,140.0,,0,34.0,30.0,9.0,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,2022-11-29,2223,Male,3039.3,62.8,120.0,26.6,223.4,23.1,2722.8,94.2,0.0,0.0,1.0,0.0,0.0,1.0,100.0,100.0,80.0,100.0,100.0,90.0,95.0,Individual,world_cup
6.0,,BTNOR12002199701,LAEGREID Sturla Holm,NOR,0+0+0+2,2.0,40.0,138.0,,0,22.0,18.0,3.0,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,2022-11-29,2223,Male,3059.9,83.4,114.2,20.8,214.6,14.3,2690.1,61.5,0.0,0.0,0.0,2.0,0.0,2.0,100.0,100.0,100.0,60.0,100.0,80.0,90.0,Individual,world_cup
7.0,,BTNOR11205199201,CHRISTIANSEN Vetle Sjaastad,NOR,0+1+0+0,1.0,36.0,136.0,,0,38.0,33.0,15.0,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,2022-11-29,2223,Male,3069.4,92.9,120.7,27.3,224.5,24.2,2750.4,121.8,0.0,0.0,1.0,0.0,0.0,1.0,100.0,100.0,80.0,100.0,100.0,90.0,95.0,Individual,world_cup
8.0,,BTLTU12811199201,STROLIA Vytautas,LTU,0+0+0+1,1.0,34.0,134.0,,0,56.0,41.0,16.0,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,2022-11-29,2223,Male,3073.6,97.1,126.4,33.0,227.5,27.2,2750.8,122.2,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,80.0,100.0,90.0,95.0,Individual,world_cup
9.0,,BTFRA12212199401,CLAUDE Fabien,FRA,0+2+0+0,2.0,32.0,132.0,,0,75.0,52.0,8.0,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,2022-11-29,2223,Male,3104.0,127.5,133.3,39.9,230.4,30.1,2722.0,93.4,0.0,0.0,2.0,0.0,0.0,2.0,100.0,100.0,60.0,100.0,100.0,80.0,90.0,Individual,world_cup
10.0,,BTNOR13007199001,BJOENTEGAARD Erlend,NOR,0+0+0+1,1.0,31.0,131.0,,0,69.0,65.0,22.0,BT2223SWRLCP01SMIN,BT2223SWRLCP01,Kontiolahti,2022-11-29,2223,Male,3108.0,131.5,131.7,38.3,235.5,35.2,2777.1,148.5,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,80.0,100.0,90.0,95.0,Individual,world_cup
