Rank,IRM,IBUId,Name,Nat,Shootings,ShootingTotal,WC,NC,BibColor,PursuitStartDistance,ResultOrder_shooting,ResultOrder_range,ResultOrder_ski,RaceId,EventId,EventName,RaceDate,Season,Genre,TotalTime_seconds,Behind_seconds,TotalTime_shooting_seconds,Behind_shooting_seconds,TotalTime_range_seconds,Behind_range_seconds,TotalTime_ski_seconds,Behind_ski_seconds,prone_shooting1,prone_shooting2,standing_shooting1,standing_shooting2,prone_shooting,standing_shooting,accuracy_prone_shooting1,accuracy_prone_shooting2,accuracy_standing_shooting1,accuracy_standing_shooting2,accuracy_prone,accuracy_standing,accuracy_total,race_name,compet_name
1.0,,BTBLR22703198501,SKARDINO Nadezhda,BLR,0+0+0+0,0.0,60.0,160.0,,0,58.0,68,11,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,2017-11-29,1718,Female,2577.4,0.0,137.0,40.5,238.0,51.1,2339.2,104.6,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
2.0,,BTNOR21505198901,SOLEMDAL Synnoeve,NOR,0+0+0+0,0.0,54.0,154.0,,0,55.0,55,15,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,2017-11-29,1718,Female,2580.3,2.9,136.7,40.2,231.4,44.5,2348.8,114.2,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
3.0,,BTUKR21909199001,DZHIMA Yuliia,UKR,0+0+0+0,0.0,48.0,148.0,,0,999.0,46,18,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,2017-11-29,1718,Female,2589.4,12.0,137.6,41.1,227.4,40.5,2362.0,127.4,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
4.0,,BTUKR21801198601,SEMERENKO Valentina,UKR,0+0+0+0,0.0,43.0,143.0,,0,34.0,39,26,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,2017-11-29,1718,Female,2607.5,30.1,127.0,30.5,222.7,35.8,2384.6,150.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
5.0,,BTSVK22510199201,BATOVSKA FIALKOVA Paulina,SVK,0+0+0+1,1.0,40.0,140.0,,0,26.0,18,10,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,2017-11-29,1718,Female,2609.6,32.2,121.0,24.5,214.3,27.4,2335.1,100.5,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,80.0,100.0,90.0,95.0,Individual,world_cup
6.0,,BTSWE22803199001,BRORSSON Mona,SWE,0+0+0+0,0.0,38.0,138.0,,0,999.0,27,34,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,2017-11-29,1718,Female,2627.0,49.6,128.6,32.1,217.8,30.9,2409.1,174.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
7.0,,BTCZE20301199101,PUSKARCIKOVA Eva,CZE,0+0+0+0,0.0,36.0,136.0,,0,7.0,7,49,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,2017-11-29,1718,Female,2646.0,68.6,108.5,12.0,205.2,18.3,2440.8,206.2,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
8.0,,BTFRA20407199601,BRAISAZ-BOUCHET Justine,FRA,1+0+1+0,2.0,34.0,134.0,,0,101.0,101,3,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,2017-11-29,1718,Female,2647.4,70.0,175.3,78.8,265.9,79.0,2261.5,26.9,1.0,1.0,0.0,0.0,2.0,0.0,80.0,80.0,100.0,100.0,80.0,100.0,90.0,Individual,world_cup
9.0,,BTCAN20402199301,RANSOM Julia,CAN,0+0+0+0,0.0,32.0,132.0,,0,53.0,52,42,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,2017-11-29,1718,Female,2655.8,78.4,136.0,39.5,230.3,43.4,2425.3,190.7,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
10.0,,BTNOR20712199001,ROEISELAND Marte Olsbu,NOR,0+0+1+1,2.0,31.0,131.0,,0,49.0,40,7,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,2017-11-29,1718,Female,2659.1,81.7,134.0,37.5,223.9,37.0,2315.1,80.5,0.0,1.0,0.0,1.0,1.0,1.0,100.0,80.0,100.0,80.0,90.0,90.0,90.0,Individual,world_cup
11.0,,BTFIN21101198301,MAKARAINEN Kaisa,FIN,1+0+2+0,3.0,30.0,130.0,,0,81.0,61,2,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,2017-11-29,1718,Female,2672.8,95.4,147.6,51.1,235.1,48.2,2257.6,23.0,1.0,2.0,0.0,0.0,3.0,0.0,80.0,60.0,100.0,100.0,70.0,100.0,85.0,Individual,world_cup
12.0,,BTCZE20912198801,VITKOVA Veronika,CZE,0+1+0+1,2.0,29.0,129.0,,0,21.0,25,13,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,2017-11-29,1718,Female,2677.2,99.8,118.4,21.9,217.1,30.2,2340.0,105.4,0.0,0.0,1.0,1.0,0.0,2.0,100.0,100.0,80.0,80.0,100.0,80.0,90.0,Individual,world_cup
13.0,,BTGER22403198701,HILDEBRAND Franziska,GER,0+0+0+1,1.0,28.0,128.0,,0,54.0,59,29,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,2017-11-29,1718,Female,2684.1,106.7,136.4,39.9,234.4,47.5,2389.6,155.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,80.0,100.0,90.0,95.0,Individual,world_cup
14.0,,BTBLR20308198602,DOMRACHEVA Darya,BLR,1+1+0+1,3.0,27.0,127.0,,0,32.0,30,5,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,2017-11-29,1718,Female,2685.2,107.8,125.0,28.5,219.0,32.1,2285.9,51.3,1.0,0.0,1.0,1.0,1.0,2.0,80.0,100.0,80.0,80.0,90.0,80.0,85.0,Individual,world_cup
15.0,,BTSWE22706199401,GESTBLOM Linn,SWE,0+0+0+0,0.0,26.0,126.0,,0,41.0,32,65,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,2017-11-29,1718,Female,2692.3,114.9,130.6,34.1,219.1,32.2,2473.0,238.4,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
16.0,,BTSUI20304198401,GASPARIN Selina,SUI,1+1+0+0,2.0,25.0,125.0,,0,77.0,77,14,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,2017-11-29,1718,Female,2704.3,126.9,145.7,49.2,241.8,54.9,2342.4,107.8,1.0,0.0,1.0,0.0,1.0,1.0,80.0,100.0,80.0,100.0,90.0,90.0,90.0,Individual,world_cup
17.0,,BTAUT21612199301,HAUSER Lisa Theresa,AUT,0+0+0+1,1.0,24.0,124.0,,0,2.0,4,53,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,2017-11-29,1718,Female,2706.7,129.3,101.6,5.1,196.1,9.2,2450.6,216.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,80.0,100.0,90.0,95.0,Individual,world_cup
18.0,,BTFIN20911198701,EDER Mari,FIN,0+0+0+2,2.0,23.0,123.0,,0,75.0,69,16,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,2017-11-29,1718,Female,2707.7,130.3,144.8,48.3,238.5,51.6,2349.1,114.5,0.0,0.0,0.0,2.0,0.0,2.0,100.0,100.0,100.0,60.0,100.0,80.0,90.0,Individual,world_cup
19.0,,BTGER20905198901,HORCHLER Karolin,GER,0+0+0+1,1.0,22.0,122.0,,0,61.0,51,38,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,2017-11-29,1718,Female,2708.0,130.6,138.1,41.6,229.7,42.8,2418.1,183.5,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,80.0,100.0,90.0,95.0,Individual,world_cup
20.0,,BTKAZ21002199401,VISHNEVSKAYA-SHEPORENKO Galina,KAZ,0+0+0+1,1.0,21.0,121.0,,0,42.0,43,41,BT1718SWRLCP01SWIN,BT1718SWRLCP01,Oestersund,2017-11-29,1718,Female,2711.3,133.9,131.1,34.6,226.3,39.4,2424.7,190.1,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,80.0,100.0,90.0,95.0,Individual,world_cup
