Rank,IRM,IBUId,Name,Nat,Shootings,ShootingTotal,WC,NC,BibColor,PursuitStartDistance,ResultOrder_shooting,ResultOrder_range,ResultOrder_ski,RaceId,EventId,EventName,RaceDate,Season,Genre,TotalTime_seconds,Behind_seconds,TotalTime_shooting_seconds,Behind_shooting_seconds,TotalTime_range_seconds,Behind_range_seconds,TotalTime_ski_seconds,Behind_ski_seconds,prone_shooting1,prone_shooting2,standing_shooting1,standing_shooting2,prone_shooting,standing_shooting,accuracy_prone_shooting1,accuracy_prone_shooting2,accuracy_standing_shooting1,accuracy_standing_shooting2,accuracy_prone,accuracy_standing,accuracy_total,race_name,compet_name
1.0,,BTGER22208199301,DAHLMEIER Laura,GER,0+0+1+1,2.0,60.0,160.0,,0,68.0,60,1,BT1617SWRLCP01SWIN,BT1617SWRLCP01,Oestersund,2016-11-30,1617,Female,2774.0,0.0,173.5,69.2,272.9,62.8,2381.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,100.0,80.0,100.0,80.0,90.0,90.0,90.0,Individual,world_cup
2.0,,BTFRA21505198701,BESCOND Anais,FRA,0+0+0+1,1.0,54.0,154.0,,0,60.0,48,13,BT1617SWRLCP01SWIN,BT1617SWRLCP01,Oestersund,2016-11-30,1617,Female,2789.8,15.8,165.8,61.5,261.2,51.1,2468.4,87.4,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,80.0,100.0,90.0,95.0,Individual,world_cup
3.0,,BTBLR20603198801,YURKEVICH Darya,BLR,0+0+0+0,0.0,48.0,148.0,,0,29.0,22,68,BT1617SWRLCP01SWIN,BT1617SWRLCP01,Oestersund,2016-11-30,1617,Female,2851.3,77.3,143.0,38.7,244.1,34.0,2607.1,226.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
4.0,,BTGER21103199401,PREUSS Franziska,GER,0+2+0+1,3.0,43.0,143.0,,0,26.0,18,9,BT1617SWRLCP01SWIN,BT1617SWRLCP01,Oestersund,2016-11-30,1617,Female,2871.9,97.9,140.9,36.6,240.6,30.5,2451.0,70.0,0.0,0.0,2.0,1.0,0.0,3.0,100.0,100.0,60.0,80.0,100.0,70.0,85.0,Individual,world_cup
5.0,,BTFRA20407199601,BRAISAZ-BOUCHET Justine,FRA,2+0+0+2,4.0,40.0,140.0,,0,10.0,32,5,BT1617SWRLCP01SWIN,BT1617SWRLCP01,Oestersund,2016-11-30,1617,Female,2886.4,112.4,124.0,19.7,251.0,40.9,2395.2,14.2,2.0,0.0,0.0,2.0,2.0,2.0,60.0,100.0,100.0,60.0,80.0,80.0,80.0,Individual,world_cup
6.0,,BTAUT21612199301,HAUSER Lisa Theresa,AUT,1+2+0+0,3.0,38.0,138.0,,0,25.0,24,37,BT1617SWRLCP01SWIN,BT1617SWRLCP01,Oestersund,2016-11-30,1617,Female,2958.9,184.9,139.8,35.5,245.6,35.5,2533.1,152.1,1.0,0.0,2.0,0.0,1.0,2.0,80.0,100.0,60.0,100.0,90.0,80.0,85.0,Individual,world_cup
7.0,,BTSWE20211199501,OEBERG Hanna,SWE,0+1+2+1,4.0,36.0,136.0,,0,2.0,1,28,BT1617SWRLCP01SWIN,BT1617SWRLCP01,Oestersund,2016-11-30,1617,Female,2968.6,194.6,111.8,7.5,210.1,0.0,2518.3,137.3,0.0,2.0,1.0,1.0,2.0,2.0,100.0,60.0,80.0,80.0,80.0,80.0,80.0,Individual,world_cup
8.0,,BTCZE20912198801,VITKOVA Veronika,CZE,3+1+0+1,5.0,34.0,134.0,,0,13.0,10,8,BT1617SWRLCP01SWIN,BT1617SWRLCP01,Oestersund,2016-11-30,1617,Female,2977.3,203.3,129.8,25.5,230.8,20.7,2446.2,65.2,3.0,0.0,1.0,1.0,3.0,2.0,40.0,100.0,80.0,80.0,70.0,80.0,75.0,Individual,world_cup
9.0,,BTGER22403199201,HINZ Vanessa,GER,0+0+0+3,3.0,32.0,132.0,,0,35.0,34,46,BT1617SWRLCP01SWIN,BT1617SWRLCP01,Oestersund,2016-11-30,1617,Female,2986.0,212.0,145.4,41.1,252.1,42.0,2553.6,172.6,0.0,0.0,0.0,3.0,0.0,3.0,100.0,100.0,100.0,40.0,100.0,70.0,85.0,Individual,world_cup
10.0,,BTUKR21011199401,ZHURAVOK Yuliia,UKR,0+1+0+1,2.0,31.0,131.0,,0,23.0,13,77,BT1617SWRLCP01SWIN,BT1617SWRLCP01,Oestersund,2016-11-30,1617,Female,2987.7,213.7,139.1,34.8,237.0,26.9,2630.5,249.5,0.0,0.0,1.0,1.0,0.0,2.0,100.0,100.0,80.0,80.0,100.0,80.0,90.0,Individual,world_cup
