Rank,IRM,IBUId,Name,Nat,Shootings,ShootingTotal,WC,NC,BibColor,PursuitStartDistance,ResultOrder_shooting,ResultOrder_range,ResultOrder_ski,RaceId,EventId,EventName,RaceDate,Season,Genre,TotalTime_seconds,Behind_seconds,TotalTime_shooting_seconds,Behind_shooting_seconds,TotalTime_range_seconds,Behind_range_seconds,TotalTime_ski_seconds,Behind_ski_seconds,prone_shooting1,prone_shooting2,standing_shooting1,standing_shooting2,prone_shooting,standing_shooting,accuracy_prone_shooting1,accuracy_prone_shooting2,accuracy_standing_shooting1,accuracy_standing_shooting2,accuracy_prone,accuracy_standing,accuracy_total,race_name,compet_name
1.0,,BTNOR11605199301,BOE Johannes Thingnes,NOR,1+0,1.0,60.0,160.0,yr,0,76.0,62,1,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,2019-12-01,1920,Male,1458.3,0.0,66.3,19.4,103.6,18.2,1319.8,0.0,1.0,,0.0,,1.0,0.0,80.0,,100.0,,80.0,100.0,90.0,Sprint,world_cup
2.0,,BTNOR12907198801,BOE Tarjei,NOR,0+1,1.0,54.0,154.0,,0,100.0,98,3,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,2019-12-01,1920,Male,1477.3,19.0,81.0,34.1,117.4,32.0,1328.2,8.4,0.0,,1.0,,0.0,1.0,100.0,,80.0,,100.0,80.0,90.0,Sprint,world_cup
3.0,,BTRUS13103199301,ELISEEV Matvei,RUS,0+0,0.0,48.0,148.0,,0,51.0,37,18,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,2019-12-01,1920,Male,1478.2,19.9,61.2,14.3,99.2,13.8,1368.6,48.8,0.0,,0.0,,0.0,0.0,100.0,,100.0,,100.0,100.0,100.0,Sprint,world_cup
4.0,,BTRUS13101199201,LOGINOV Alexandr,RUS,0+1,1.0,43.0,143.0,,0,12.0,9,14,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,2019-12-01,1920,Male,1485.4,27.1,51.5,4.6,92.1,6.7,1358.3,38.5,0.0,,1.0,,0.0,1.0,100.0,,80.0,,100.0,80.0,90.0,Sprint,world_cup
5.0,,BTFRA11409198801,FOURCADE Martin,FRA,0+2,2.0,40.0,140.0,,0,87.0,80,2,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,2019-12-01,1920,Male,1486.2,27.9,71.2,24.3,108.5,23.1,1321.3,1.5,0.0,,2.0,,0.0,2.0,100.0,,60.0,,100.0,60.0,80.0,Sprint,world_cup
6.0,,BTGER11911199101,KUEHN Johannes,GER,0+2,2.0,38.0,138.0,,0,999.0,64,4,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,2019-12-01,1920,Male,1487.0,28.7,65.9,19.0,103.9,18.5,1329.3,9.5,0.0,,2.0,,0.0,2.0,100.0,,60.0,,100.0,60.0,80.0,Sprint,world_cup
7.0,,BTNOR12305199701,DALE-SKJEVDAL Johannes,NOR,0+1,1.0,36.0,136.0,,0,999.0,71,11,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,2019-12-01,1920,Male,1487.7,29.4,64.9,18.0,105.7,20.3,1348.2,28.4,0.0,,1.0,,0.0,1.0,100.0,,80.0,,100.0,80.0,90.0,Sprint,world_cup
8.0,,BTNOR13007199001,BJOENTEGAARD Erlend,NOR,0+1,1.0,34.0,,,0,92.0,82,8,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,2019-12-01,1920,Male,1490.0,31.7,72.8,25.9,110.0,24.6,1346.3,26.5,0.0,,1.0,,0.0,1.0,100.0,,80.0,,100.0,80.0,90.0,Sprint,world_cup
9.0,,BTAUT10911198601,EBERHARD Julian,AUT,2+0,2.0,32.0,132.0,,0,25.0,18,7,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,2019-12-01,1920,Male,1492.1,33.8,56.3,9.4,94.8,9.4,1340.7,20.9,2.0,,0.0,,2.0,0.0,60.0,,100.0,,60.0,100.0,80.0,Sprint,world_cup
10.0,,BTBUL11703198701,ILIEV Vladimir,BUL,0+2,2.0,31.0,131.0,,0,47.0,38,6,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,2019-12-01,1920,Male,1494.3,36.0,60.3,13.4,99.4,14.0,1340.2,20.4,0.0,,2.0,,0.0,2.0,100.0,,60.0,,100.0,60.0,80.0,Sprint,world_cup
11.0,,BTFRA11107199501,JACQUELIN Emilien,FRA,1+1,2.0,30.0,130.0,,0,999.0,25,9,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,2019-12-01,1920,Male,1498.9,40.6,58.9,12.0,96.5,11.1,1347.1,27.3,1.0,,1.0,,1.0,1.0,80.0,,80.0,,80.0,80.0,80.0,Sprint,world_cup
12.0,,BTFRA11608199201,FILLON MAILLET Quentin,FRA,0+2,2.0,29.0,129.0,,0,38.0,30,10,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,2019-12-01,1920,Male,1504.0,45.7,58.8,11.9,97.5,12.1,1348.0,28.2,0.0,,2.0,,0.0,2.0,100.0,,60.0,,100.0,60.0,80.0,Sprint,world_cup
13.0,,BTITA12908199101,BORMOLINI Thomas,ITA,0+0,0.0,28.0,128.0,,0,44.0,31,46,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,2019-12-01,1920,Male,1510.3,52.0,59.8,12.9,97.6,12.2,1401.5,81.7,0.0,,0.0,,0.0,0.0,100.0,,100.0,,100.0,100.0,100.0,Sprint,world_cup
14.0,,BTFRA10312199101,DESTHIEUX Simon,FRA,0+2,2.0,27.0,,,0,88.0,87,12,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,2019-12-01,1920,Male,1516.0,57.7,71.8,24.9,110.6,25.2,1350.6,30.8,0.0,,2.0,,0.0,2.0,100.0,,60.0,,100.0,60.0,80.0,Sprint,world_cup
15.0,,BTITA13009198901,HOFER Lukas,ITA,0+1,1.0,26.0,126.0,,0,85.0,79,24,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,2019-12-01,1920,Male,1522.9,64.6,70.4,23.5,108.2,22.8,1382.7,62.9,0.0,,1.0,,0.0,1.0,100.0,,80.0,,100.0,80.0,90.0,Sprint,world_cup
16.0,,BTCZE12301199101,KRCMAR Michal,CZE,0+0,0.0,25.0,125.0,,0,107.0,107,29,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,2019-12-01,1920,Male,1524.7,66.4,86.5,39.6,127.1,41.7,1387.2,67.4,0.0,,0.0,,0.0,0.0,100.0,,100.0,,100.0,100.0,100.0,Sprint,world_cup
17.0,,BTSUI12206199001,DOLDER Mario,SUI,0+1,1.0,24.0,124.0,,0,999.0,24,39,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,2019-12-01,1920,Male,1526.5,68.2,58.9,12.0,96.3,10.9,1396.3,76.5,0.0,,1.0,,0.0,1.0,100.0,,80.0,,100.0,80.0,90.0,Sprint,world_cup
18.0,,BTLAT12705198801,RASTORGUJEVS Andrejs,LAT,2+1,3.0,23.0,123.0,,0,56.0,50,13,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,2019-12-01,1920,Male,1535.3,77.0,62.6,15.7,101.6,16.2,1353.9,34.1,2.0,,1.0,,2.0,1.0,60.0,,80.0,,60.0,80.0,70.0,Sprint,world_cup
19.0,,BTFRA11111199101,CLAUDE Florent,BEL,0+1,1.0,22.0,122.0,,0,999.0,103,22,BT1920SWRLCP01SMSP,BT1920SWRLCP01,Oestersund,2019-12-01,1920,Male,1535.4,77.1,81.9,35.0,120.8,35.4,1381.3,61.5,0.0,,1.0,,0.0,1.0,100.0,,80.0,,100.0,80.0,90.0,Sprint,world_cup
