Rank,IRM,IBUId,Name,Nat,Shootings,ShootingTotal,WC,NC,BibColor,PursuitStartDistance,ResultOrder_shooting,ResultOrder_range,ResultOrder_ski,RaceId,EventId,EventName,RaceDate,Season,Genre,TotalTime_seconds,Behind_seconds,TotalTime_shooting_seconds,Behind_shooting_seconds,TotalTime_range_seconds,Behind_range_seconds,TotalTime_ski_seconds,Behind_ski_seconds,prone_shooting1,prone_shooting2,standing_shooting1,standing_shooting2,prone_shooting,standing_shooting,accuracy_prone_shooting1,accuracy_prone_shooting2,accuracy_standing_shooting1,accuracy_standing_shooting2,accuracy_prone,accuracy_standing,accuracy_total,race_name,compet_name
1.0,,BTNOR12002199701,LAEGREID Sturla Holm,NOR,0+0+0+0,0.0,60.0,160.0,,0,26.0,40.0,7.0,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,2020-11-28,2021,Male,2937.0,0.0,114.2,17.8,202.2,18.4,2701.8,50.4,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
2.0,,BTNOR11605199301,BOE Johannes Thingnes,NOR,1+0+0+0,1.0,54.0,154.0,y,0,999.0,61.0,1.0,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,2020-11-28,2021,Male,2956.6,19.6,130.8,34.4,209.8,26.0,2651.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,80.0,100.0,100.0,100.0,90.0,100.0,95.0,Individual,world_cup
3.0,,BTGER11705198801,LESSER Erik,GER,0+1+0+0,1.0,48.0,148.0,,0,999.0,6.0,10.0,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,2020-11-28,2021,Male,3000.6,63.6,107.4,11.0,188.4,4.6,2715.7,64.3,0.0,0.0,1.0,0.0,0.0,1.0,100.0,100.0,80.0,100.0,100.0,90.0,95.0,Individual,world_cup
4.0,,BTFRA11608199201,FILLON MAILLET Quentin,FRA,0+1+0+0,1.0,43.0,143.0,,0,40.0,17.0,9.0,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,2020-11-28,2021,Male,3002.9,65.9,118.1,21.7,193.3,9.5,2714.4,63.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,100.0,80.0,100.0,100.0,90.0,95.0,Individual,world_cup
5.0,,BTCZE10906198401,MORAVEC Ondrej,CZE,0+0+0+0,0.0,40.0,140.0,,0,9.0,5.0,32.0,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,2020-11-28,2021,Male,3003.9,66.9,102.8,6.4,188.2,4.4,2780.1,128.7,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Individual,world_cup
6.0,,BTSWE12803199701,SAMUELSSON Sebastian,SWE,1+1+0+0,2.0,38.0,138.0,,0,37.0,37.0,3.0,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,2020-11-28,2021,Male,3028.8,91.8,117.2,20.8,201.9,18.1,2675.1,23.7,1.0,0.0,1.0,0.0,1.0,1.0,80.0,100.0,80.0,100.0,90.0,90.0,90.0,Individual,world_cup
7.0,,BTCRO10108198701,FAK Jakov,SLO,0+0+0+1,1.0,36.0,136.0,,0,5.0,4.0,21.0,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,2020-11-28,2021,Male,3029.0,92.0,100.7,4.3,187.7,3.9,2747.4,96.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,80.0,100.0,90.0,95.0,Individual,world_cup
8.0,,BTFRA11107199501,JACQUELIN Emilien,FRA,1+1+0+0,2.0,34.0,134.0,,0,18.0,13.0,8.0,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,2020-11-28,2021,Male,3059.1,122.1,111.1,14.7,190.6,6.8,2714.0,62.6,1.0,0.0,1.0,0.0,1.0,1.0,80.0,100.0,80.0,100.0,90.0,90.0,90.0,Individual,world_cup
9.0,,BTFRA10207199101,GUIGONNAT Antonin,FRA,0+0+1+0,1.0,32.0,132.0,,0,999.0,30.0,28.0,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,2020-11-28,2021,Male,3070.6,133.6,112.5,16.1,198.9,15.1,2775.2,123.8,0.0,1.0,0.0,0.0,1.0,0.0,100.0,80.0,100.0,100.0,90.0,100.0,95.0,Individual,world_cup
10.0,,BTRUS13101199201,LOGINOV Alexandr,RUS,0+1+0+1,2.0,31.0,131.0,,0,24.0,19.0,12.0,BT2021SWRLCP01SMIN,BT2021SWRLCP01,Kontiolahti,2020-11-28,2021,Male,3076.2,139.2,113.7,17.3,194.2,10.4,2725.7,74.3,0.0,0.0,1.0,1.0,0.0,2.0,100.0,100.0,80.0,80.0,100.0,80.0,90.0,Individual,world_cup
