Rank,IRM,IBUId,Name,Nat,Shootings,ShootingTotal,WC,NC,BibColor,PursuitStartDistance,ResultOrder_shooting,ResultOrder_range,ResultOrder_ski,RaceId,EventId,EventName,RaceDate,Season,Genre,TotalTime_seconds,Behind_seconds,TotalTime_shooting_seconds,Behind_shooting_seconds,TotalTime_range_seconds,Behind_range_seconds,TotalTime_ski_seconds,Behind_ski_seconds,prone_shooting1,prone_shooting2,standing_shooting1,standing_shooting2,prone_shooting,standing_shooting,accuracy_prone_shooting1,accuracy_prone_shooting2,accuracy_standing_shooting1,accuracy_standing_shooting2,accuracy_prone,accuracy_standing,accuracy_total,race_name,compet_name
1.0,,BTNOR10509199701,STROEMSHEIM Endre,NOR,0+0+0+0,0.0,90.0,160.0,,0,6.0,15.0,12.0,BT2425SWRLCP01SMSI,BT2425SWRLCP01,Kontiolahti,2024-12-03,2425,Male,2288.8,0.0,99.0,7.5,190.2,9.3,2067.1,50.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,ShortIndividual,world_cup
2.0,,BTNOR11605199301,BOE Johannes Thingnes,NOR,0+1+0+0,1.0,75.0,154.0,yr,0,30.0,27.0,1.0,BT2425SWRLCP01SMSI,BT2425SWRLCP01,Kontiolahti,2024-12-03,2425,Male,2291.8,3.0,110.8,19.3,196.4,15.5,2016.6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,100.0,80.0,100.0,100.0,90.0,95.0,ShortIndividual,world_cup
3.0,,BTNOR12002199701,LAEGREID Sturla Holm,NOR,0+0+0+0,0.0,65.0,148.0,,0,35.0,41.0,15.0,BT2425SWRLCP01SMSI,BT2425SWRLCP01,Kontiolahti,2024-12-03,2425,Male,2313.0,24.2,113.4,21.9,203.0,22.1,2077.8,61.2,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,ShortIndividual,world_cup
4.0,,BTUKR10504200301,MANDZYN Vitalii,UKR,0+0+0+0,0.0,55.0,143.0,,0,23.0,25.0,33.0,BT2425SWRLCP01SMSI,BT2425SWRLCP01,Kontiolahti,2024-12-03,2425,Male,2352.7,63.9,108.4,16.9,196.0,15.1,2125.0,108.4,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,ShortIndividual,world_cup
5.0,,BTFRA11608199201,FILLON MAILLET Quentin,FRA,1+0+1+0,2.0,50.0,140.0,,0,12.0,7.0,6.0,BT2425SWRLCP01SMSI,BT2425SWRLCP01,Kontiolahti,2024-12-03,2425,Male,2359.5,70.7,104.6,13.1,186.4,5.5,2050.0,33.4,1.0,1.0,0.0,0.0,2.0,0.0,80.0,80.0,100.0,100.0,80.0,100.0,90.0,ShortIndividual,world_cup
6.0,,BTFRA12906200101,PERROT Eric,FRA,0+0+0+1,1.0,45.0,138.0,,0,33.0,24.0,20.0,BT2425SWRLCP01SMSI,BT2425SWRLCP01,Kontiolahti,2024-12-03,2425,Male,2371.4,82.6,111.6,20.1,195.0,14.1,2097.2,80.6,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,80.0,100.0,90.0,95.0,ShortIndividual,world_cup
7.0,,BTCRO10108198701,FAK Jakov,SLO,0+0+1+0,1.0,41.0,136.0,,0,14.0,8.0,34.0,BT2425SWRLCP01SMSI,BT2425SWRLCP01,Kontiolahti,2024-12-03,2425,Male,2391.3,102.5,105.3,13.8,186.9,6.0,2127.2,110.6,0.0,1.0,0.0,0.0,1.0,0.0,100.0,80.0,100.0,100.0,90.0,100.0,95.0,ShortIndividual,world_cup
8.0,,BTFRA12212199401,CLAUDE Fabien,FRA,0+0+1+1,2.0,37.0,134.0,,0,61.0,52.0,10.0,BT2425SWRLCP01SMSI,BT2425SWRLCP01,Kontiolahti,2024-12-03,2425,Male,2393.3,104.5,125.9,34.4,208.8,27.9,2063.1,46.5,0.0,1.0,0.0,1.0,1.0,1.0,100.0,80.0,100.0,80.0,90.0,90.0,90.0,ShortIndividual,world_cup
9.0,,BTBEL12410199101,LANGER Thierry,BEL,0+0+1+0,1.0,34.0,132.0,,0,48.0,40.0,31.0,BT2425SWRLCP01SMSI,BT2425SWRLCP01,Kontiolahti,2024-12-03,2425,Male,2396.2,107.4,117.6,26.1,202.8,21.9,2117.0,100.4,0.0,1.0,0.0,0.0,1.0,0.0,100.0,80.0,100.0,100.0,90.0,100.0,95.0,ShortIndividual,world_cup
10.0,,BTUKR10511199101,PIDRUCHNYI Dmytro,UKR,0+0+0+1,1.0,31.0,131.0,,0,42.0,49.0,29.0,BT2425SWRLCP01SMSI,BT2425SWRLCP01,Kontiolahti,2024-12-03,2425,Male,2398.2,109.4,115.0,23.5,206.4,25.5,2113.9,97.3,0.0,0.0,0.0,1.0,0.0,1.0,100.0,100.0,100.0,80.0,100.0,90.0,95.0,ShortIndividual,world_cup
11.0,,BTNOR11205199201,CHRISTIANSEN Vetle Sjaastad,NOR,2+0+0+0,2.0,30.0,,,0,57.0,53.0,11.0,BT2425SWRLCP01SMSI,BT2425SWRLCP01,Kontiolahti,2024-12-03,2425,Male,2398.3,109.5,120.2,28.7,209.0,28.1,2067.0,50.4,2.0,0.0,0.0,0.0,2.0,0.0,60.0,100.0,100.0,100.0,80.0,100.0,90.0,ShortIndividual,world_cup
12.0,,BTSUI11107199601,BURKHALTER Joscha,SUI,1+0+0+0,1.0,29.0,129.0,,0,4.0,4.0,37.0,BT2425SWRLCP01SMSI,BT2425SWRLCP01,Kontiolahti,2024-12-03,2425,Male,2399.4,110.6,98.7,7.2,184.4,3.5,2137.4,120.8,1.0,0.0,0.0,0.0,1.0,0.0,80.0,100.0,100.0,100.0,90.0,100.0,95.0,ShortIndividual,world_cup
13.0,,BTAUT12302198301,EDER Simon,AUT,0+0+0+0,0.0,28.0,128.0,,0,7.0,14.0,58.0,BT2425SWRLCP01SMSI,BT2425SWRLCP01,Kontiolahti,2024-12-03,2425,Male,2403.7,114.9,101.7,10.2,190.0,9.1,2181.1,164.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,ShortIndividual,world_cup
14.0,,BTFRA11107199501,JACQUELIN Emilien,FRA,0+1+1+1,3.0,27.0,,,0,18.0,9.0,9.0,BT2425SWRLCP01SMSI,BT2425SWRLCP01,Kontiolahti,2024-12-03,2425,Male,2409.8,121.0,106.6,15.1,187.2,6.3,2056.1,39.5,0.0,1.0,1.0,1.0,1.0,2.0,100.0,80.0,80.0,80.0,90.0,80.0,85.0,ShortIndividual,world_cup
